"filename", "language", "Java Properties", "Gradle", "Log", "Batch", "XML", "Java", "CSS", "java", "comment", "blank", "total"
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/gui/controllers/VisualizationController.class", "Java", 0, 0, 0, 0, 0, 107, 0, 0, 0, 1, 108
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/network/TCPClient.class", "Java", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 71
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/requests/Request.class", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/CollectionHandler.class", "Java", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 64
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/CommandHelper.class", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/Deserializator$1.class", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/Deserializator.class", "Java", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/FileManager.class", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 22
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/IOHandler.class", "Java", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/PersonCreator.class", "Java", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 56
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/PersonValidator.class", "Java", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 34
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/main/ifmo/utils/UserHelper.class", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/bin/test/ifmo/AppTest.class", "Java", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/build.gradle", "Gradle", 0, 48, 0, 0, 0, 0, 0, 0, 2, 8, 58
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid10066.log", "Log", 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
