"filename", "language", "Gradle", "java", "Java Properties", "comment", "blank", "total"
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/CountLessThanHeight.java", "java", 0, 24, 0, 0, 4, 28
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/ExecuteScript.java", "java", 0, 71, 0, 0, 4, 75
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Exit.java", "java", 0, 27, 0, 0, 1, 28
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/FilterContainsName.java", "java", 0, 21, 0, 0, 2, 23
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/GroupCountingById.java", "java", 0, 21, 0, 0, 3, 24
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Help.java", "java", 0, 32, 0, 0, 4, 36
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Info.java", "java", 0, 21, 0, 0, 3, 24
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/RemoveById.java", "java", 0, 24, 0, 0, 4, 28
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/RemoveGreater.java", "java", 0, 24, 0, 0, 4, 28
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Reorder.java", "java", 0, 21, 0, 0, 3, 24
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Show.java", "java", 0, 21, 0, 0, 1, 22
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Shuffle.java", "java", 0, 21, 0, 0, 2, 23
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Update.java", "java", 0, 24, 0, 0, 3, 27
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Color.java", "java", 0, 13, 0, 0, 3, 16
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Coordinates.java", "java", 0, 38, 0, 0, 6, 44
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Location.java", "java", 0, 49, 0, 0, 14, 63
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Person.java", "java", 0, 158, 0, 1, 8, 167
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/User.java", "java", 0, 22, 0, 0, 6, 28
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/exceptions/ElementAmountException.java", "java", 0, 3, 0, 0, 3, 6
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/exceptions/RecursionException.java", "java", 0, 3, 0, 0, 3, 6
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/exceptions/ValueException.java", "java", 0, 3, 0, 0, 2, 5
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/gui/controllers/AuthController.java", "java", 0, 50, 0, 4, 6, 60
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/gui/controllers/TableController.java", "java", 0, 82, 0, 10, 12, 104
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/network/TCPClient.java", "java", 0, 82, 0, 0, 19, 101
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/requests/Request.java", "java", 0, 28, 0, 0, 8, 36
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/CollectionHandler.java", "java", 0, 121, 0, 0, 14, 135
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/CommandHelper.java", "java", 0, 45, 0, 0, 6, 51
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/FileManager.java", "java", 0, 36, 0, 0, 7, 43
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/IOHandler.java", "java", 0, 15, 0, 0, 2, 17
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/PersonCreator.java", "java", 0, 180, 0, 0, 9, 189
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/PersonValidator.java", "java", 0, 40, 0, 0, 6, 46
"/mnt/d/ITMO/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/UserHelper.java", "java", 0, 40, 0, 25, 9, 74
"/mnt/d/ITMO/prog-labs-2sem/lab8/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 6, 0, 1, 7
"/mnt/d/ITMO/prog-labs-2sem/lab8/settings.gradle", "Gradle", 14, 0, 0, 0, 3, 17
"Total", "-", 64, 2270, 6, 52, 222, 2614
